음식명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g)
가지나물,50.00 ,21.87 ,3.03 ,0.00 ,1.27 ,0.73 ,11.32 ,20.29 ,159.17 ,125.29 ,-,0.34 ,0.14 ,0.00 ,0.00 
고사리나물,50.00 ,43.51 ,3.80 ,0.00 ,3.26 ,1.97 ,20.35 ,32.94 ,251.53 ,302.39 ,-,1.81 ,0.94 ,0.00 ,0.00 
도라지나물,50.00 ,54.68 ,5.34 ,0.00 ,3.82 ,0.67 ,15.10 ,24.06 ,256.67 ,104.97 ,-,0.91 ,0.08 ,0.00 ,0.00 
무나물,50.00 ,34.58 ,3.04 ,0.00 ,2.56 ,0.58 ,18.05 ,16.53 ,293.52 ,143.43 ,-,0.46 ,0.20 ,0.00 ,0.00 
미나리나물,50.00 ,28.34 ,2.56 ,0.00 ,2.14 ,0.99 ,18.45 ,28.82 ,165.52 ,239.04 ,-,1.16 ,0.19 ,0.00 ,0.00 
숙주나물,50.00 ,19.51 ,1.56 ,0.00 ,1.35 ,1.31 ,10.11 ,20.87 ,186.73 ,85.47 ,-,0.38 ,0.19 ,0.00 ,0.00 
시금치나물,50.00 ,37.51 ,3.82 ,0.00 ,2.37 ,2.07 ,37.59 ,24.55 ,217.26 ,311.26 ,-,1.77 ,0.40 ,0.00 ,0.00 
취나물,50.00 ,72.94 ,3.46 ,0.00 ,6.71 ,1.60 ,58.38 ,30.07 ,288.65 ,222.98 ,-,1.09 ,0.03 ,0.00 ,0.00 
콩나물,50.00 ,24.13 ,1.15 ,0.00 ,1.98 ,1.64 ,12.78 ,21.61 ,203.50 ,78.36 ,-,0.43 ,0.23 ,0.00 ,0.00 
고구마줄기나물,50.00 ,30.44 ,2.97 ,0.00 ,2.24 ,0.63 ,28.19 ,19.65 ,255.71 ,73.77 ,-,0.91 ,0.18 ,0.00 ,0.00 
우거지나물무침,150.00 ,126.11 ,10.28 ,1.50 ,8.66 ,5.08 ,513.00 ,108.69 ,774.55 ,94.11 ,-,21.90 ,0.45 ,0.00 ,0.00 
골뱅이무침,100.00 ,107.35 ,15.56 ,6.06 ,2.30 ,7.91 ,40.48 ,89.79 ,515.92 ,346.35 ,4.94 ,1.44 ,0.88 ,45.56 ,0.00 
김무침,30.00 ,81.01 ,12.19 ,6.93 ,4.12 ,4.71 ,45.44 ,95.12 ,498.63 ,413.57 ,-,2.16 ,0.57 ,0.00 ,0.00 
미역초무침,50.00 ,24.94 ,5.70 ,4.00 ,0.54 ,1.07 ,47.27 ,28.82 ,285.80 ,236.75 ,-,0.40 ,0.12 ,0.00 ,0.00 
북어채무침,150.00 ,332.05 ,31.33 ,18.02 ,5.80 ,37.37 ,245.11 ,744.84 ,1048.53 ,782.64 ,-,2.58 ,0.89 ,108.57 ,0.00 
회무침,300.00 ,311.59 ,42.88 ,26.41 ,4.26 ,27.18 ,200.10 ,314.51 ,1253.25 ,955.84 ,-,4.38 ,1.68 ,61.38 ,0.00 
쥐치채,20.00 ,53.39 ,10.18 ,6.60 ,0.20 ,2.77 ,14.29 ,31.71 ,289.45 ,78.51 ,-,0.30 ,0.12 ,5.93 ,0.00 
파래무침,30.00 ,31.59 ,5.43 ,0.90 ,0.69 ,2.34 ,64.54 ,19.04 ,252.05 ,74.49 ,-,1.71 ,0.15 ,0.00 ,0.00 
홍어무침,200.00 ,193.14 ,24.90 ,9.43 ,2.27 ,21.64 ,337.43 ,320.55 ,817.42 ,842.66 ,-,3.47 ,1.26 ,79.20 ,0.00 
골뱅이국수무침,230.00 ,256.42 ,39.63 ,0.00 ,7.01 ,10.52 ,97.58 ,151.38 ,911.74 ,492.58 ,-,2.84 ,1.23 ,39.98 ,0.00 
오징어무침,200.00 ,249.53 ,13.55 ,0.00 ,4.19 ,38.67 ,78.58 ,556.64 ,682.39 ,660.14 ,-,1.86 ,3.40 ,430.92 ,0.00 
잡채,150.00 ,198.82 ,37.47 ,2.99 ,4.70 ,2.59 ,50.13 ,53.94 ,664.75 ,294.12 ,-,2.91 ,0.48 ,14.25 ,0.00 
탕평채,100.00 ,101.19 ,10.20 ,6.99 ,3.11 ,3.53 ,38.80 ,89.96 ,247.42 ,269.97 ,6.26 ,1.23 ,0.82 ,4.95 ,0.00 
갓김치,50.00 ,27.64 ,5.21 ,0.42 ,0.70 ,1.98 ,83.19 ,30.59 ,447.77 ,222.81 ,-,1.32 ,0.48 ,3.51 ,0.00 
고들빼기,50.00 ,55.39 ,11.99 ,0.00 ,0.56 ,2.21 ,37.38 ,44.59 ,733.75 ,177.84 ,-,1.80 ,0.37 ,0.55 ,0.00 
깍두기,50.00 ,17.99 ,3.95 ,0.05 ,0.23 ,1.00 ,19.16 ,15.33 ,338.88 ,148.05 ,-,0.56 ,0.14 ,4.07 ,0.00 
깻잎김치,150.00 ,124.49 ,23.27 ,2.99 ,3.16 ,6.10 ,131.99 ,93.45 ,1907.64 ,752.09 ,-,3.01 ,1.27 ,29.66 ,0.00 
나박김치,100.00 ,14.75 ,2.26 ,0.01 ,0.42 ,0.63 ,12.54 ,11.62 ,509.47 ,77.83 ,0.03 ,0.36 ,0.08 ,0.00 ,0.00 
동치미,400.00 ,57.69 ,14.26 ,0.00 ,0.64 ,2.70 ,43.02 ,47.37 ,2313.58 ,438.22 ,-,1.39 ,0.29 ,0.00 ,0.00 
배추겉절이,50.00 ,21.24 ,4.48 ,1.00 ,0.50 ,0.94 ,21.84 ,23.14 ,325.41 ,182.36 ,-,0.48 ,0.31 ,1.34 ,0.00 
배추김치,50.00 ,18.43 ,4.16 ,0.50 ,0.30 ,1.15 ,35.85 ,24.24 ,309.53 ,207.14 ,-,0.63 ,0.32 ,3.41 ,0.00 
백김치,50.00 ,19.80 ,4.38 ,0.00 ,0.26 ,0.80 ,22.88 ,18.19 ,211.72 ,153.42 ,-,0.43 ,0.24 ,0.04 ,0.00 
부추김치,50.00 ,32.91 ,6.29 ,3.49 ,0.57 ,1.88 ,13.93 ,15.23 ,399.38 ,228.66 ,-,1.28 ,0.19 ,0.00 ,0.00 
열무김치,50.00 ,16.29 ,3.16 ,1.20 ,0.35 ,1.34 ,64.55 ,28.57 ,308.35 ,411.85 ,-,1.39 ,0.13 ,0.00 ,0.00 
열무얼갈이김치,50.00 ,16.57 ,3.03 ,0.00 ,0.40 ,1.27 ,47.91 ,33.17 ,344.20 ,177.00 ,-,0.84 ,0.21 ,4.20 ,0.00 
오이소박이,50.00 ,16.67 ,2.96 ,1.20 ,0.53 ,0.94 ,22.34 ,39.57 ,276.19 ,184.88 ,-,0.54 ,0.19 ,1.45 ,0.00 
총각김치,50.00 ,17.56 ,3.44 ,0.00 ,0.37 ,1.03 ,50.19 ,25.63 ,347.17 ,168.11 ,-,0.88 ,0.19 ,4.43 ,0.00 
파김치,50.00 ,28.01 ,5.47 ,1.00 ,0.70 ,1.55 ,46.63 ,20.36 ,395.87 ,179.12 ,-,0.82 ,0.34 ,4.69 ,0.00 
간장게장,250.00 ,292.70 ,13.89 ,0.17 ,2.09 ,32.67 ,267.12 ,458.43 ,3075.53 ,1137.69 ,-,7.55 ,8.41 ,223.13 ,0.00 
마늘쫑장아찌,50.00 ,28.27 ,6.19 ,2.35 ,0.13 ,1.05 ,8.39 ,23.65 ,778.60 ,105.69 ,-,0.33 ,0.34 ,0.00 ,0.00 
